CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
450299,St. Joseph Health College Station Hospital,College Station,TX,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,450299_St. Joseph Health College Station Hospital
450324,Texoma Medical Center,Denison,TX,"Universal Health Services, Inc. - King of Prussia, PA",Short Term Acute Care,450324_Texoma Medical Center
450330,OakBend Medical Center,Richmond,TX,"Not In Any System - ,",Short Term Acute Care,450330_OakBend Medical Center
450340,Shannon South,San Angelo,TX,"Shannon Health System - San Angelo, TX",Short Term Acute Care,450340_Shannon South
450346,Baptist Hospitals of Southeast Texas,Beaumont,TX,"Not In Any System - ,",Short Term Acute Care,450346_Baptist Hospitals of Southeast Texas
450347,Huntsville Memorial Hospital,Huntsville,TX,"Not In Any System - ,",Short Term Acute Care,450347_Huntsville Memorial Hospital
450348,Falls Community Hospital and Clinic,Marlin,TX,"Not In Any System - ,",Short Term Acute Care,450348_Falls Community Hospital and Clinic
450351,Texas Health Stephenville,Stephenville,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450351_Texas Health Stephenville
450352,Hunt Regional Medical Center at Greenville,Greenville,TX,"Not In Any System - ,",Short Term Acute Care,450352_Hunt Regional Medical Center at Greenville
450358,Houston Methodist Hospital,Houston,TX,"Houston Methodist - Houston, TX",Short Term Acute Care,450358_Houston Methodist Hospital
450369,Childress Regional Medical Center,Childress,TX,"Not In Any System - ,",Short Term Acute Care,450369_Childress Regional Medical Center
450370,Columbus Community Hospital,Columbus,TX,"Not In Any System - ,",Short Term Acute Care,450370_Columbus Community Hospital
450372,Baylor Scott & White Medical Center Waxahachie,Waxahachie,TX,"Baylor Scott & White Health - Dallas, TX",Short Term Acute Care,450372_Baylor Scott & White Medical Center Waxahachie
450379,Dallas Medical Center,Dallas,TX,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,450379_Dallas Medical Center
450388,Methodist Hospital,San Antonio,TX,"Methodist Healthcare System - San Antonio, TX",Short Term Acute Care,450388_Methodist Hospital
450389,UT Health Athens,Athens,TX,"Ardent Health Services - Nashville, TN",Short Term Acute Care,450389_UT Health Athens
450395,St. Luke's Health-Memorial Livingston Hospital,Livingston,TX,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,450395_St. Luke's Health-Memorial Livingston Hospital
450399,Brownfield Regional Medical Center,Brownfield,TX,"Not In Any System - ,",Short Term Acute Care,450399_Brownfield Regional Medical Center
450400,Parkview Regional Hospital,Mexia,TX,"LifePoint Health - Brentwood, TN",Short Term Acute Care,450400_Parkview Regional Hospital
450403,Medical City McKinney,McKinney,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450403_Medical City McKinney
450411,Eastland Memorial Hospital,Eastland,TX,"Not In Any System - ,",Short Term Acute Care,450411_Eastland Memorial Hospital
450419,Texas Health Azle,Azle,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450419_Texas Health Azle
450422,Baylor Scott & White Medical Center Uptown,Dallas,TX,"Not In Any System - ,",Short Term Acute Care,450422_Baylor Scott & White Medical Center Uptown
450424,Houston Methodist Baytown Hospital,Baytown,TX,"Houston Methodist - Houston, TX",Short Term Acute Care,450424_Houston Methodist Baytown Hospital
450431,St. David's Medical Center,Austin,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450431_St. David's Medical Center
450447,Navarro Regional Hospital,Corsicana,TX,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,450447_Navarro Regional Hospital
450451,Glen Rose Medical Center,Glen Rose,TX,"Not In Any System - ,",Short Term Acute Care,450451_Glen Rose Medical Center
450460,Tyler County Hospital,Woodville,TX,"Not In Any System - ,",Short Term Acute Care,450460_Tyler County Hospital
450462,Texas Health Dallas,Dallas,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450462_Texas Health Dallas
450465,Matagorda Regional Medical Center,Bay City,TX,"Not In Any System - ,",Short Term Acute Care,450465_Matagorda Regional Medical Center
450469,Wilson N. Jones Regional Medical Center,Sherman,TX,"Alecto Healthcare - Irvine, CA",Short Term Acute Care,450469_Wilson N. Jones Regional Medical Center
450475,UT Health Henderson,Henderson,TX,"UT Health East Texas - Tyler, TX",Short Term Acute Care,450475_UT Health Henderson
450484,Woodland Heights Medical Center,Lufkin,TX,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,450484_Woodland Heights Medical Center
450489,Medical Arts Hospital,Lamesa,TX,"Not In Any System - ,",Short Term Acute Care,450489_Medical Arts Hospital
450498,Stephens Memorial Hospital,Breckenridge,TX,"Not In Any System - ,",Short Term Acute Care,450498_Stephens Memorial Hospital
450508,Nacogdoches Memorial Hospital,Nacogdoches,TX,"Not In Any System - ,",Short Term Acute Care,450508_Nacogdoches Memorial Hospital
450518,The Medical Center of Southeast Texas,Port Arthur,TX,"Steward Health Care System - Boston, MA",Short Term Acute Care,450518_The Medical Center of Southeast Texas
450530,HCA Houston Healthcare Mainland,Texas City,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450530_HCA Houston Healthcare Mainland
450537,Methodist Richardson Medical Center,Richardson,TX,"Methodist Health System - Dallas, TX",Short Term Acute Care,450537_Methodist Richardson Medical Center
450539,Covenant Health Plainview,Plainview,TX,"Providence - Renton, WA",Short Term Acute Care,450539_Covenant Health Plainview
450558,Hendrick Medical Center South,Abilene,TX,"Hendrick Health System - Abilene, TX",Short Term Acute Care,450558_Hendrick Medical Center South
450563,Baylor Scott & White Medical Center Grapevine,Grapevine,TX,"Baylor Scott & White Health - Dallas, TX",Short Term Acute Care,450563_Baylor Scott & White Medical Center Grapevine
450565,Palo Pinto General Hospital,Mineral Wells,TX,"Not In Any System - ,",Short Term Acute Care,450565_Palo Pinto General Hospital
450571,Shannon Medical Center,San Angelo,TX,"Shannon Health System - San Angelo, TX",Short Term Acute Care,450571_Shannon Medical Center
450573,CHRISTUS Southeast Texas Jasper Memorial,Jasper,TX,"CHRISTUS Health - Irving, TX",Short Term Acute Care,450573_CHRISTUS Southeast Texas Jasper Memorial
450578,Hemphill County Hospital,Canadian,TX,"Not In Any System - ,",Short Term Acute Care,450578_Hemphill County Hospital
450584,Wilbarger General Hospital,Vernon,TX,"Not In Any System - ,",Short Term Acute Care,450584_Wilbarger General Hospital
450586,Seymour Hospital,Seymour,TX,"Not In Any System - ,",Short Term Acute Care,450586_Seymour Hospital
450587,Hendrick Medical Center Brownwood,Brownwood,TX,"Hendrick Health System - Abilene, TX",Short Term Acute Care,450587_Hendrick Medical Center Brownwood
450591,Angleton Danbury Hospital,Angleton,TX,"University of Texas System - Dallas, TX",Short Term Acute Care,450591_Angleton Danbury Hospital
450596,Lake Granbury Medical Center,Granbury,TX,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,450596_Lake Granbury Medical Center
450597,Cuero Regional Hospital,Cuero,TX,"Not In Any System - ,",Short Term Acute Care,450597_Cuero Regional Hospital
450604,Hill Country Memorial Hospital,Fredericksburg,TX,"Not In Any System - ,",Short Term Acute Care,450604_Hill Country Memorial Hospital
45060F,Thomas E. Creek VA Medical Center,Amarillo,TX,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,45060F_Thomas E. Creek VA Medical Center
450610,Memorial Hermann Memorial City Medical Center,Houston,TX,"Memorial Hermann - Houston, TX",Short Term Acute Care,450610_Memorial Hermann Memorial City Medical Center
450615,CHRISTUS Saint Michael Hospital - Atlanta,Atlanta,TX,"CHRISTUS Health - Irving, TX",Short Term Acute Care,450615_CHRISTUS Saint Michael Hospital - Atlanta
450617,HCA Houston Healthcare Clear Lake,Webster,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450617_HCA Houston Healthcare Clear Lake
450631,Methodist Specialty and Transplant Hospital,San Antonio,TX,"Methodist Healthcare System - San Antonio, TX",Short Term Acute Care,450631_Methodist Specialty and Transplant Hospital
450633,Metropolitan Methodist Hospital,San Antonio,TX,"Methodist Healthcare System - San Antonio, TX",Short Term Acute Care,450633_Metropolitan Methodist Hospital
450634,Medical City Denton,Denton,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450634_Medical City Denton
450638,HCA Houston Healthcare Northwest,Houston,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450638_HCA Houston Healthcare Northwest
450639,Texas Health HEB,Bedford,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450639_Texas Health HEB
45063F,West Texas VA Health Care System,Big Spring,TX,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,45063F_West Texas VA Health Care System
450641,Nocona General Hospital,Nocona,TX,"Not In Any System - ,",Short Term Acute Care,450641_Nocona General Hospital
450643,Doctors Hospital of Laredo,Laredo,TX,"Universal Health Services, Inc. - King of Prussia, PA",Short Term Acute Care,450643_Doctors Hospital of Laredo
450644,HCA Houston Healthcare West,Houston,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450644_HCA Houston Healthcare West
450646,Del Sol Medical Center,El Paso,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450646_Del Sol Medical Center
450647,Medical City Dallas,Dallas,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450647_Medical City Dallas
450651,Medical City Plano,Plano,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450651_Medical City Plano
450653,Scenic Mountain Medical Center,Big Spring,TX,"Steward Health Care System - Boston, MA",Short Term Acute Care,450653_Scenic Mountain Medical Center
450654,Starr County Memorial Hospital,Rio Grande City,TX,"Not In Any System - ,",Short Term Acute Care,450654_Starr County Memorial Hospital
450656,Nacogdoches Medical Center,Nacogdoches,TX,"TENET Healthcare - Dallas, TX",Short Term Acute Care,450656_Nacogdoches Medical Center
450658,Freestone Medical Center,Fairfield,TX,"Not In Any System - ,",Short Term Acute Care,450658_Freestone Medical Center
450659,HCA Houston Healthcare Medical Center,Houston,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450659_HCA Houston Healthcare Medical Center
450661,Odessa Regional Medical Center,Odessa,TX,"Steward Health Care System - Boston, MA",Short Term Acute Care,450661_Odessa Regional Medical Center
450662,Valley Regional Medical Center,Brownsville,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450662_Valley Regional Medical Center
450668,The Hospitals of Providence Sierra Campus,El Paso,TX,"TENET Healthcare - Dallas, TX",Short Term Acute Care,450668_The Hospitals of Providence Sierra Campus
450669,Medical City Lewisville,Lewisville,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450669_Medical City Lewisville
45066F,Dallas VA Medical Center,Dallas,TX,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,45066F_Dallas VA Medical Center
450670,HCA Houston Healthcare Tomball,Tomball,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450670_HCA Houston Healthcare Tomball
450672,Medical City Fort Worth,Fort Worth,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450672_Medical City Fort Worth
450674,The Woman's Hospital of Texas,Houston,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450674_The Woman's Hospital of Texas
450675,Medical City Arlington,Arlington,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450675_Medical City Arlington
450677,Texas Health Huguley Hospital Fort Worth South,Burleson,TX,"Not In Any System - ,",Short Term Acute Care,450677_Texas Health Huguley Hospital Fort Worth South
450678,City Hospital at White Rock,Dallas,TX,"Pipeline Health - El Segundo, CA",Short Term Acute Care,450678_City Hospital at White Rock
450684,Memorial Hermann Northeast Hospital,Humble,TX,"Memorial Hermann - Houston, TX",Short Term Acute Care,450684_Memorial Hermann Northeast Hospital
450686,University Medical Center,Lubbock,TX,"Not In Any System - ,",Short Term Acute Care,450686_University Medical Center
450688,Dallas Regional Medical Center,Mesquite,TX,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,450688_Dallas Regional Medical Center
45068F,William Beaumont Army Medical Center,El Paso,TX,"TRICARE - Falls Church, VA",Short Term Acute Care,45068F_William Beaumont Army Medical Center
450690,UT Health North Campus Tyler,Tyler,TX,"UT Health East Texas - Tyler, TX",Short Term Acute Care,450690_UT Health North Campus Tyler
450694,El Campo Memorial Hospital,El Campo,TX,"Not In Any System - ,",Short Term Acute Care,450694_El Campo Memorial Hospital
450697,Texas Vista Medical Center,San Antonio,TX,"Steward Health Care System - Boston, MA",Short Term Acute Care,450697_Texas Vista Medical Center
450698,Lamb Healthcare Center,Littlefield,TX,"Not In Any System - ,",Short Term Acute Care,450698_Lamb Healthcare Center
45069F,Brooke Army Medical Center,Fort Sam Houston,TX,"TRICARE - Falls Church, VA",Short Term Acute Care,45069F_Brooke Army Medical Center
450702,Longview Regional Medical Center,Longview,TX,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,450702_Longview Regional Medical Center
450709,Houston Methodist Clear Lake Hospital,Nassau Bay,TX,"Houston Methodist - Houston, TX",Short Term Acute Care,450709_Houston Methodist Clear Lake Hospital
45070F,Carl R. Darnall Army Medical Center,Fort Hood,TX,"TRICARE - Falls Church, VA",Short Term Acute Care,45070F_Carl R. Darnall Army Medical Center
450711,Rio Grande Regional Hospital,McAllen,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450711_Rio Grande Regional Hospital
450713,Saint David's South Austin Medical Center,Austin,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450713_Saint David's South Austin Medical Center
450718,Saint David's Round Rock Medical Center,Round Rock,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450718_Saint David's Round Rock Medical Center
450723,Methodist Charlton Medical Center,Dallas,TX,"Methodist Health System - Dallas, TX",Short Term Acute Care,450723_Methodist Charlton Medical Center
450724,DeTar Hospital North,Victoria,TX,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,450724_DeTar Hospital North
450725,Methodist Children's Hospital,San Antonio,TX,"Methodist Healthcare System - San Antonio, TX",Short Term Acute Care,450725_Methodist Children's Hospital
450730,Carrollton Regional Medical Center,Carrollton,TX,"Not In Any System - ,",Short Term Acute Care,450730_Carrollton Regional Medical Center
450732,Memorial Hermann The Woodlands Medical Center,The Woodlands,TX,"Memorial Hermann - Houston, TX",Short Term Acute Care,450732_Memorial Hermann The Woodlands Medical Center
450733,Methodist Hospital Northeast,Live Oak,TX,"Methodist Healthcare System - San Antonio, TX",Short Term Acute Care,450733_Methodist Hospital Northeast
450742,Baylor Scott & White Medical Center Lake Pointe,Rowlett,TX,"Baylor Scott & White Health - Dallas, TX",Short Term Acute Care,450742_Baylor Scott & White Medical Center Lake Pointe
450743,Texas Health Denton,Denton,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450743_Texas Health Denton
450747,Palestine Regional Medical Center,Palestine,TX,"LifePoint Health - Brentwood, TN",Short Term Acute Care,450747_Palestine Regional Medical Center
45074F,Michael E. DeBakey VA Medical Center,Houston,TX,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,45074F_Michael E. DeBakey VA Medical Center
450755,Covenant Health Levelland,Levelland,TX,"Providence - Renton, WA",Short Term Acute Care,450755_Covenant Health Levelland
45075F,Kerrville VA Hospital,Kerrville,TX,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,45075F_Kerrville VA Hospital
450766,Zale Lipshy Pavilion-William P. Clements Jr. University Hospital,Dallas,TX,"University of Texas System - Dallas, TX",Short Term Acute Care,450766_Zale Lipshy Pavilion-William P. Clements Jr. University Hospital
450771,Texas Health Plano,Plano,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450771_Texas Health Plano
450774,TOPS Surgical Specialty Hospital,Houston,TX,"Not In Any System - ,",Short Term Acute Care,450774_TOPS Surgical Specialty Hospital
450775,HCA Houston Healthcare Kingwood,Kingwood,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450775_HCA Houston Healthcare Kingwood
450779,Texas Health Southwest Fort Worth,Fort Worth,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450779_Texas Health Southwest Fort Worth
450780,Methodist Ambulatory Surgery Hospital,San Antonio,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450780_Methodist Ambulatory Surgery Hospital
450788,Corpus Christi Medical Center - Doctors Regional,Corpus Christi,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450788_Corpus Christi Medical Center - Doctors Regional
450796,Northwest Texas Surgical Hospital,Amarillo,TX,"Universal Health Services, Inc. - King of Prussia, PA",Short Term Acute Care,450796_Northwest Texas Surgical Hospital
450801,CHRISTUS Saint Michael Hospital,Texarkana,TX,"CHRISTUS Health - Irving, TX",Short Term Acute Care,450801_CHRISTUS Saint Michael Hospital
450803,United Memorial Medical Center,Houston,TX,"Not In Any System - ,",Short Term Acute Care,450803_United Memorial Medical Center
450804,Texas Orthopedic Hospital,Houston,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450804_Texas Orthopedic Hospital
450808,Northwest Hills Surgical Hospital,Austin,TX,"Not In Any System - ,",Short Term Acute Care,450808_Northwest Hills Surgical Hospital
450809,Saint David's North Austin Medical Center,Austin,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450809_Saint David's North Austin Medical Center
450811,South Texas Health System McAllen,McAllen,TX,"Universal Health Services, Inc. - King of Prussia, PA",Short Term Acute Care,450811_South Texas Health System McAllen
450820,Houston Methodist Sugar Land Hospital,Sugar Land,TX,"Houston Methodist - Houston, TX",Short Term Acute Care,450820_Houston Methodist Sugar Land Hospital
450822,Medical City Las Colinas,Irving,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450822_Medical City Las Colinas
450824,Heart Hospital of Austin,Austin,TX,"HCA Healthcare - Nashville, TN",Short Term Acute Care,450824_Heart Hospital of Austin
450825,Cornerstone Regional Hospital,Edinburg,TX,"Universal Health Services, Inc. - King of Prussia, PA",Short Term Acute Care,450825_Cornerstone Regional Hospital
450827,Kell West Regional Hospital,Wichita Falls,TX,"Not In Any System - ,",Short Term Acute Care,450827_Kell West Regional Hospital
450828,CHRISTUS Spohn Hospital Alice,Alice,TX,"CHRISTUS Health - Irving, TX",Short Term Acute Care,450828_CHRISTUS Spohn Hospital Alice
450831,Surgery Specialty Hospitals of America,Pasadena,TX,"Not In Any System - ,",Short Term Acute Care,450831_Surgery Specialty Hospitals of America
450833,Ennis Regional Medical Center,Ennis,TX,"LifePoint Health - Brentwood, TN",Short Term Acute Care,450833_Ennis Regional Medical Center
450834,The Physicians Centre Hospital,Bryan,TX,"Not In Any System - ,",Short Term Acute Care,450834_The Physicians Centre Hospital
450840,Texas Health Allen,Allen,TX,"Texas Health Resources - Arlington, TX",Short Term Acute Care,450840_Texas Health Allen
450844,Houston Methodist Willowbrook Hospital,Houston,TX,"Houston Methodist - Houston, TX",Short Term Acute Care,450844_Houston Methodist Willowbrook Hospital
450847,Memorial Hermann Katy Hospital,Katy,TX,"Memorial Hermann - Houston, TX",Short Term Acute Care,450847_Memorial Hermann Katy Hospital
450848,Memorial Hermann Sugar Land Hospital,Sugar Land,TX,"Memorial Hermann - Houston, TX",Short Term Acute Care,450848_Memorial Hermann Sugar Land Hospital
450851,Baylor Scott & White Heart and Vascular Hospital-Dallas,Dallas,TX,"Baylor Scott & White Health - Dallas, TX",Short Term Acute Care,450851_Baylor Scott & White Heart and Vascular Hospital-Dallas
450853,Baylor Scott and White Medical Center Frisco,Frisco,TX,"Not In Any System - ,",Short Term Acute Care,450853_Baylor Scott and White Medical Center Frisco
450855,Harlingen Medical Center,Harlingen,TX,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,450855_Harlingen Medical Center
450856,South Texas Spine & Surgical Hospital,San Antonio,TX,"Not In Any System - ,",Short Term Acute Care,450856_South Texas Spine & Surgical Hospital
450860,Memorial Hermann Surgical Hospital-First Colony,Sugar Land,TX,"Not In Any System - ,",Short Term Acute Care,450860_Memorial Hermann Surgical Hospital-First Colony
450862,St. Luke's Health -The Woodlands Hospital,The Woodlands,TX,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,450862_St. Luke's Health -The Woodlands Hospital
450864,Baylor Scott & White Texas Spine & Joint Hospital,Tyler,TX,"Not In Any System - ,",Short Term Acute Care,450864_Baylor Scott & White Texas Spine & Joint Hospital
450865,Ascension Seton Southwest,Austin,TX,"Ascension Health - Saint Louis, MO",Short Term Acute Care,450865_Ascension Seton Southwest
450867,Ascension Seton Northwest,Austin,TX,"Ascension Health - Saint Louis, MO",Short Term Acute Care,450867_Ascension Seton Northwest
450869,DHR Health,Edinburg,TX,"Not In Any System - ,",Short Term Acute Care,450869_DHR Health
45086F,Central Texas Veterans Health Care System - Olin E. Teague Veterans' Center,Temple,TX,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,45086F_Central Texas Veterans Health Care System - Olin E. Teague Veterans' Center
450871,Arise Austin Medical Center,Austin,TX,"Not In Any System - ,",Short Term Acute Care,450871_Arise Austin Medical Center
450872,USMD Hospital at Arlington,Arlington,TX,"USMD Health System - Irving, TX",Short Term Acute Care,450872_USMD Hospital at Arlington
450874,Baylor Surgical Hospital at Las Colinas,Irving,TX,"Not In Any System - ,",Short Term Acute Care,450874_Baylor Surgical Hospital at Las Colinas
450875,Quail Creek Surgical Hospital,Amarillo,TX,"Physicians Surgical Hospitals, L.L.C. - Amarillo, TX",Short Term Acute Care,450875_Quail Creek Surgical Hospital
450876,Lubbock Heart & Surgical Hospital,Lubbock,TX,"Not In Any System - ,",Short Term Acute Care,450876_Lubbock Heart & Surgical Hospital
450877,Foundation Surgical Hospital of El Paso,El Paso,TX,"Foundation HealthCare - Oklahoma City, OK",Short Term Acute Care,450877_Foundation Surgical Hospital of El Paso
450878,Methodist Texsan Hospital,San Antonio,TX,"Methodist Healthcare System - San Antonio, TX",Short Term Acute Care,450878_Methodist Texsan Hospital
450880,Baylor Scott & White Surgical Hospital Fort Worth,Fort Worth,TX,"Not In Any System - ,",Short Term Acute Care,450880_Baylor Scott & White Surgical Hospital Fort Worth
450883,Baylor Scott & White Medical Center Trophy Club,Trophy Club,TX,"Not In Any System - ,",Short Term Acute Care,450883_Baylor Scott & White Medical Center Trophy Club
450885,Baylor Scott & White Medical Center Centennial,Frisco,TX,"Baylor Scott & White Health - Dallas, TX",Short Term Acute Care,450885_Baylor Scott & White Medical Center Centennial
450888,Texas Health Harris Methodist Hospital Southlake,Southlake,TX,"Not In Any System - ,",Short Term Acute Care,450888_Texas Health Harris Methodist Hospital Southlake
450889,Texas Institute for Surgery,Dallas,TX,"Not In Any System - ,",Short Term Acute Care,450889_Texas Institute for Surgery
450890,Baylor Scott & White Medical Center  Plano,Plano,TX,"Baylor Scott & White Health - Dallas, TX",Short Term Acute Care,450890_Baylor Scott & White Medical Center  Plano
450891,Texas Health Center for Diagnostics & Surgery,Plano,TX,"Not In Any System - ,",Short Term Acute Care,450891_Texas Health Center for Diagnostics & Surgery
450893,Baylor Scott and White The Heart Hospital Denton,Denton,TX,"Not In Any System - ,",Short Term Acute Care,450893_Baylor Scott and White The Heart Hospital Denton
45090F,Audie L. Murphy Memorial VA Hospital,San Antonio,TX,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,45090F_Audie L. Murphy Memorial VA Hospital
451300,Parmer Medical Center,Friona,TX,"Not In Any System - ,",Critical Access,451300_Parmer Medical Center
451301,Reagan Memorial Hospital,Big Lake,TX,"Not In Any System - ,",Critical Access,451301_Reagan Memorial Hospital
451303,Limestone Medical Center,Groesbeck,TX,"Not In Any System - ,",Critical Access,451303_Limestone Medical Center
451304,Schleicher County Medical Center,Eldorado,TX,"Not In Any System - ,",Critical Access,451304_Schleicher County Medical Center
451305,CHI Saint Joseph Health Burleson Hospital,Caldwell,TX,"CommonSpirit Health - Englewood, CO",Critical Access,451305_CHI Saint Joseph Health Burleson Hospital
451306,Kimble Hospital,Junction,TX,"Not In Any System - ,",Critical Access,451306_Kimble Hospital
451307,Iraan General Hospital,Iraan,TX,"Not In Any System - ,",Critical Access,451307_Iraan General Hospital
451308,Yoakum County Hospital,Denver City,TX,"Not In Any System - ,",Critical Access,451308_Yoakum County Hospital
451309,McCamey County Hospital District,McCamey,TX,"Not In Any System - ,",Critical Access,451309_McCamey County Hospital District
451310,Ballinger Memorial Hospital,Ballinger,TX,"Not In Any System - ,",Critical Access,451310_Ballinger Memorial Hospital
451311,Sweeny Community Hospital,Sweeny,TX,"Not In Any System - ,",Critical Access,451311_Sweeny Community Hospital
451312,Rice Medical Center,Eagle Lake,TX,"Not In Any System - ,",Critical Access,451312_Rice Medical Center
451313,Fisher County Hospital,Rotan,TX,"Not In Any System - ,",Critical Access,451313_Fisher County Hospital
451314,Winkler County Memorial Hospital,Kermit,TX,"Not In Any System - ,",Critical Access,451314_Winkler County Memorial Hospital
451315,North Runnels Hospital District,Winters,TX,"Not In Any System - ,",Critical Access,451315_North Runnels Hospital District
451316,CHI St. Joseph Health Madison Hospital,Madisonville,TX,"CommonSpirit Health - Englewood, CO",Critical Access,451316_CHI St. Joseph Health Madison Hospital
451317,Refugio County Memorial Hospital,Refugio,TX,"Not In Any System - ,",Critical Access,451317_Refugio County Memorial Hospital
451318,Stonewall Memorial Hospital,Aspermont,TX,"Not In Any System - ,",Critical Access,451318_Stonewall Memorial Hospital
451319,CHRISTUS Trinity Clinic - Jacksonville,Jacksonville,TX,"CHRISTUS Health - Irving, TX",Critical Access,451319_CHRISTUS Trinity Clinic - Jacksonville
451320,Bayside Community Hospital,Anahuac,TX,"Not In Any System - ,",Critical Access,451320_Bayside Community Hospital
451322,CHI St. Joseph Health Grimes Hospital,Navasota,TX,"CommonSpirit Health - Englewood, CO",Critical Access,451322_CHI St. Joseph Health Grimes Hospital
451323,AdventHealth Rollins Brook,Lampasas,TX,"AdventHealth - Altamonte Springs, FL",Critical Access,451323_AdventHealth Rollins Brook
451324,Lillian M. Hudspeth Memorial Hospital,Sonora,TX,"Not In Any System - ,",Critical Access,451324_Lillian M. Hudspeth Memorial Hospital
451325,Concho County Hospital,Eden,TX,"Not In Any System - ,",Critical Access,451325_Concho County Hospital
451328,Riceland Medical Center,Winnie,TX,"Not In Any System - ,",Critical Access,451328_Riceland Medical Center
451329,Rankin County Hospital,Rankin,TX,"Not In Any System - ,",Critical Access,451329_Rankin County Hospital
451330,Medina Regional Hospital,Hondo,TX,"Not In Any System - ,",Critical Access,451330_Medina Regional Hospital
451331,Coon Memorial Hospital,Dalhart,TX,"Not In Any System - ,",Critical Access,451331_Coon Memorial Hospital
451332,Palacios Community Medical Center,Palacios,TX,"Not In Any System - ,",Critical Access,451332_Palacios Community Medical Center
451333,Martin County Hospital,Stanton,TX,"Not In Any System - ,",Critical Access,451333_Martin County Hospital
451334,Parkview Hospital,Wheeler,TX,"Not In Any System - ,",Critical Access,451334_Parkview Hospital
451335,Muenster Memorial Hospital,Muenster,TX,"Not In Any System - ,",Critical Access,451335_Muenster Memorial Hospital
451337,W.J. Mangold Memorial Hospital,Lockney,TX,"Not In Any System - ,",Critical Access,451337_W.J. Mangold Memorial Hospital
451338,Culberson Hospital,Van Horn,TX,"Not In Any System - ,",Critical Access,451338_Culberson Hospital
451339,Throckmorton County Memorial Hospital,Throckmorton,TX,"Not In Any System - ,",Critical Access,451339_Throckmorton County Memorial Hospital
451340,Shamrock General Hospital,Shamrock,TX,"Not In Any System - ,",Critical Access,451340_Shamrock General Hospital
451341,Haskell Memorial Hospital,Haskell,TX,"Not In Any System - ,",Critical Access,451341_Haskell Memorial Hospital
451342,Mitchell County Hospital,Colorado City,TX,"Not In Any System - ,",Critical Access,451342_Mitchell County Hospital
451343,Electra Memorial Hospital,Electra,TX,"Not In Any System - ,",Critical Access,451343_Electra Memorial Hospital
451344,Hansford County Hospital District,Spearman,TX,"Not In Any System - ,",Critical Access,451344_Hansford County Hospital District
